yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB8C6I	Entry	Metal binding	Keywords	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Developmental stage	Interacts with	Intramembrane	Subcellular location [CC]	Topological domain	Transmembrane	Cross-reference (BioGrid)	Cross-reference (KEGG)	Cross-reference (EcoGene)	yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB644J
narI	P11350	METAL 56 56 Iron (heme B 1 axial ligand). {ECO:0000269|PubMed:12910261}.; METAL 66 66 Iron (heme B 2 axial ligand). {ECO:0000269|PubMed:12910261}.; METAL 187 187 Iron (heme B 2 axial ligand). {ECO:0000269|PubMed:12910261}.; METAL 205 205 Iron (heme B 1 axial ligand). {ECO:0000269|PubMed:12910261}.	3D-structure;Cell inner membrane;Cell membrane;Complete proteome;Direct protein sequencing;Electron transport;Formylation;Heme;Iron;Membrane;Metal-binding;Nitrate assimilation;Oxidoreductase;Reference proteome;Transmembrane;Transmembrane helix;Transport	anaerobic respiration [GO:0009061]; nitrate assimilation [GO:0042128]	integral component of plasma membrane [GO:0005887]; NarGHI complex [GO:0044799]; nitrate reductase complex [GO:0009325]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; NarGHI complex [GO:0044799]; nitrate reductase complex [GO:0009325]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; nitrate reductase activity [GO:0008940]; anaerobic respiration [GO:0009061]; nitrate assimilation [GO:0042128]	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; nitrate reductase activity [GO:0008940]	GO:0005886; GO:0005887; GO:0008940; GO:0009055; GO:0009061; GO:0009325; GO:0020037; GO:0042128; GO:0044799; GO:0046872				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000305|PubMed:15919996}.	TOPO_DOM 1 3 Periplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 30 47 Cytoplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 71 82 Periplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 113 124 Cytoplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 149 182 Periplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 199 225 Cytoplasmic. {ECO:0000269|PubMed:15919996}.	TRANSMEM 4 29 Helical; Name=1.; TRANSMEM 48 70 Helical; Name=2.; TRANSMEM 83 112 Helical; Name=3.; TRANSMEM 125 148 Helical; Name=4.; TRANSMEM 183 198 Helical; Name=5.	4262233;	ecj:JW1218;eco:b1227;	EG10640;	
rssA	P0AFR0		Complete proteome;Hydrolase;Lipid degradation;Lipid metabolism;Reference proteome	lipid catabolic process [GO:0016042]; phosphatidylcholine metabolic process [GO:0046470]		lysophospholipase activity [GO:0004622]; lipid catabolic process [GO:0016042]; phosphatidylcholine metabolic process [GO:0046470]	lysophospholipase activity [GO:0004622]	GO:0004622; GO:0016042; GO:0046470							4261927;	ecj:JW1222;eco:b1234;	EG12120;	
rssB	P0AEV1		3D-structure;Complete proteome;Phosphoprotein;Reference proteome;Stress response	phosphorelay signal transduction system [GO:0000160]; positive regulation of proteolysis [GO:0045862]; protein destabilization [GO:0031648]; regulation of gene expression [GO:0010468]		sigma factor antagonist activity [GO:0016989]; phosphorelay signal transduction system [GO:0000160]; positive regulation of proteolysis [GO:0045862]; protein destabilization [GO:0031648]; regulation of gene expression [GO:0010468]	sigma factor antagonist activity [GO:0016989]	GO:0000160; GO:0010468; GO:0016989; GO:0031648; GO:0045862							4261926;	ecj:JW1223;eco:b1235;	EG12121;	
galU	P0AEP3		3D-structure;Complete proteome;Direct protein sequencing;Magnesium;Nucleotidyltransferase;Reference proteome;Transferase	colanic acid biosynthetic process [GO:0009242]; galactose catabolic process via UDP-galactose [GO:0033499]; lipopolysaccharide core region biosynthetic process [GO:0009244]; osmoregulated periplasmic glucan biosynthetic process [GO:1900727]; protein homotetramerization [GO:0051289]; UDP-glucose metabolic process [GO:0006011]	cytosol [GO:0005829]	cytosol [GO:0005829]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; UTP:glucose-1-phosphate uridylyltransferase activity [GO:0003983]; colanic acid biosynthetic process [GO:0009242]; galactose catabolic process via UDP-galactose [GO:0033499]; lipopolysaccharide core region biosynthetic process [GO:0009244]; osmoregulated periplasmic glucan biosynthetic process [GO:1900727]; protein homotetramerization [GO:0051289]; UDP-glucose metabolic process [GO:0006011]	identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; UTP:glucose-1-phosphate uridylyltransferase activity [GO:0003983]	GO:0000287; GO:0003983; GO:0005829; GO:0006011; GO:0009242; GO:0009244; GO:0033499; GO:0042802; GO:0051289; GO:1900727							4260121;	ecj:JW1224;eco:b1236;	EG11319;	
kch	P31069		3D-structure;Cell inner membrane;Cell membrane;Complete proteome;Ion channel;Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	potassium ion transport [GO:0006813]; protein homotetramerization [GO:0051289]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; identical protein binding [GO:0042802]; potassium ion transport [GO:0006813]; protein homotetramerization [GO:0051289]	identical protein binding [GO:0042802]	GO:0005886; GO:0006813; GO:0016021; GO:0042802; GO:0051289				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:8824224}; Multi-pass membrane protein {ECO:0000269|PubMed:8824224}.	TOPO_DOM 1 21 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 42 63 Periplasmic. {ECO:0000255}.; TOPO_DOM 84 86 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 105 110 Periplasmic. {ECO:0000255}.; TOPO_DOM 128 140 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 161 199 Periplasmic. {ECO:0000255}.; TOPO_DOM 221 417 Cytoplasmic. {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:8824224}.	TRANSMEM 22 41 Helical; Name=1. {ECO:0000255}.; TRANSMEM 64 83 Helical; Name=2. {ECO:0000255}.; TRANSMEM 87 104 Helical; Name=3. {ECO:0000255}.; TRANSMEM 111 127 Helical; Name=4. {ECO:0000255}.; TRANSMEM 141 160 Helical; Name=5. {ECO:0000255}.; TRANSMEM 200 220 Helical; Name=6. {ECO:0000255}.	4261503;	ecj:JW1242;eco:b1250;	EG11606;	
yciA	P0A8Z0		3D-structure;Complete proteome;Hydrolase;Reference proteome			acyl-CoA hydrolase activity [GO:0047617]	acyl-CoA hydrolase activity [GO:0047617]	GO:0047617							4262997;	ecj:JW1245;eco:b1253;	EG11121;	
ompW	P0A915		3D-structure;Cell outer membrane;Complete proteome;Direct protein sequencing;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane beta strand		cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]	cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]		GO:0009279; GO:0016021		P0AC47		SUBCELLULAR LOCATION: Cell outer membrane.			4263000;	ecj:JW1248;eco:b1256;	EG11124;	
yciE	P21363		Complete proteome;Direct protein sequencing;Reference proteome												4260137;	ecj:JW1249;eco:b1257;	EG11125;	
yciF	P21362		3D-structure;Complete proteome;Direct protein sequencing;Reference proteome	cellular response to DNA damage stimulus [GO:0006974]		cellular response to DNA damage stimulus [GO:0006974]		GO:0006974							4260654;	ecj:JW1250;eco:b1258;	EG11126;	
yciG	P21361		Complete proteome;Reference proteome	bacterial-type flagellum-dependent swarming motility [GO:0071978]		bacterial-type flagellum-dependent swarming motility [GO:0071978]		GO:0071978							4261596;	ecj:JW1251;eco:b1259;	EG11127;	
trpB	P0A879		3D-structure;Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Complete proteome;Direct protein sequencing;Lyase;Pyridoxal phosphate;Reference proteome;Tryptophan biosynthesis	aromatic amino acid family biosynthetic process [GO:0009073]; tryptophan biosynthetic process [GO:0000162]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; identical protein binding [GO:0042802]; pyridoxal phosphate binding [GO:0030170]; tryptophan synthase activity [GO:0004834]; aromatic amino acid family biosynthetic process [GO:0009073]; tryptophan biosynthetic process [GO:0000162]	identical protein binding [GO:0042802]; pyridoxal phosphate binding [GO:0030170]; tryptophan synthase activity [GO:0004834]	GO:0000162; GO:0004834; GO:0005737; GO:0005829; GO:0009073; GO:0030170; GO:0042802		Itself					4259543;	ecj:JW1253;eco:b1261;	EG11025;	
yciO	P0AFR4		3D-structure;Complete proteome;Reference proteome		cytosol [GO:0005829]	cytosol [GO:0005829]; double-stranded RNA binding [GO:0003725]	double-stranded RNA binding [GO:0003725]	GO:0003725; GO:0005829							4260126;	ecj:JW5196;eco:b1267;	EG12967;	
yciQ	P45848		Complete proteome;Reference proteome		plasma membrane [GO:0005886]	plasma membrane [GO:0005886]		GO:0005886							4260127;	ecj:JW5197;eco:b1268;	EG12969;	
rluB	P37765		3D-structure;Complete proteome;Isomerase;RNA-binding;Reference proteome;rRNA processing	enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	cytosol [GO:0005829]	cytosol [GO:0005829]; pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159]	GO:0000455; GO:0003723; GO:0005829; GO:0009982; GO:0120159		P75864; P02359; P21507					4259574;	ecj:JW1261;eco:b1269;	EG12433;	
yciX	P58094		Complete proteome;Reference proteome													eco:b4523;	EG14351;	
pgpB	P0A924		3D-structure;Cell inner membrane;Cell membrane;Cell outer membrane;Complete proteome;Direct protein sequencing;Hydrolase;Lipid degradation;Lipid metabolism;Membrane;Phospholipid degradation;Phospholipid metabolism;Reference proteome;Transmembrane;Transmembrane helix	glycerophospholipid biosynthetic process [GO:0046474]; peptidoglycan biosynthetic process [GO:0009252]; phosphatidylglycerol biosynthetic process [GO:0006655]; phospholipid catabolic process [GO:0009395]	cell outer membrane [GO:0009279]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	cell outer membrane [GO:0009279]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; diacylglycerol diphosphate phosphatase activity [GO:0000810]; phosphatidate phosphatase activity [GO:0008195]; phosphatidylglycerophosphatase activity [GO:0008962]; undecaprenyl-diphosphatase activity [GO:0050380]; glycerophospholipid biosynthetic process [GO:0046474]; peptidoglycan biosynthetic process [GO:0009252]; phosphatidylglycerol biosynthetic process [GO:0006655]; phospholipid catabolic process [GO:0009395]	diacylglycerol diphosphate phosphatase activity [GO:0000810]; phosphatidate phosphatase activity [GO:0008195]; phosphatidylglycerophosphatase activity [GO:0008962]; undecaprenyl-diphosphatase activity [GO:0050380]	GO:0000810; GO:0005886; GO:0005887; GO:0006655; GO:0008195; GO:0008962; GO:0009252; GO:0009279; GO:0009395; GO:0046474; GO:0050380				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}. Cell outer membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.	TOPO_DOM 25 54 Periplasmic. {ECO:0000305|PubMed:24821770}.; TOPO_DOM 67 71 Cytoplasmic. {ECO:0000305|PubMed:24821770}.; TOPO_DOM 95 161 Periplasmic. {ECO:0000305|PubMed:24821770}.; TOPO_DOM 177 182 Cytoplasmic. {ECO:0000305|PubMed:24821770}.; TOPO_DOM 203 208 Periplasmic. {ECO:0000305|PubMed:24821770}.; TOPO_DOM 233 254 Cytoplasmic. {ECO:0000305|PubMed:24821770}.	TRANSMEM 2 24 Helical. {ECO:0000269|PubMed:24821770}.; TRANSMEM 55 66 Helical. {ECO:0000269|PubMed:24821770}.; TRANSMEM 72 94 Helical. {ECO:0000269|PubMed:24821770}.; TRANSMEM 162 176 Helical. {ECO:0000269|PubMed:24821770}.; TRANSMEM 183 202 Helical. {ECO:0000269|PubMed:24821770}.; TRANSMEM 209 232 Helical. {ECO:0000269|PubMed:24821770}.	4262195;	ecj:JW1270;eco:b1278;	EG10705;	
osmB	P0ADA7		Cell membrane;Complete proteome;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal		outer membrane [GO:0019867]; plasma membrane [GO:0005886]	outer membrane [GO:0019867]; plasma membrane [GO:0005886]		GO:0005886; GO:0019867				SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.			4260738;	ecj:JW1275;eco:b1283;	EG10679;	
gmr	P77334		Complete proteome;Hydrolase;Reference proteome;c-di-GMP	negative regulation of cyclase activity [GO:0031280]; posttranscriptional regulation of gene expression [GO:0010608]		cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]; GTP binding [GO:0005525]; negative regulation of cyclase activity [GO:0031280]; posttranscriptional regulation of gene expression [GO:0010608]	cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]; GTP binding [GO:0005525]	GO:0005525; GO:0010608; GO:0031280; GO:0071111		P77302; P33358					4261961;	ecj:JW1278;eco:b1285;	EG13415;	
puuD	A0A0G3HLV0		Glutamine amidotransferase;Hydrolase	glutamine metabolic process [GO:0006541]		hydrolase activity [GO:0016787]; glutamine metabolic process [GO:0006541]	hydrolase activity [GO:0016787]	GO:0006541; GO:0016787										
puuD	P76038		Complete proteome;Direct protein sequencing;Hydrolase;Reference proteome	putrescine catabolic process [GO:0009447]		gamma-glutamyl-gamma-aminobutyrate hydrolase activity [GO:0033969]; putrescine catabolic process [GO:0009447]	gamma-glutamyl-gamma-aminobutyrate hydrolase activity [GO:0033969]	GO:0009447; GO:0033969							4260141;	ecj:JW1291;eco:b1298;	EG13909;	
puuR	A0A0G3HZV6					DNA binding [GO:0003677]	DNA binding [GO:0003677]	GO:0003677										
puuR	P0A9U6		Complete proteome;DNA-binding;Reference proteome;Transcription;Transcription regulation	putrescine catabolic process [GO:0009447]; transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; putrescine catabolic process [GO:0009447]; transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]	GO:0003677; GO:0006351; GO:0009447							4263529;	ecj:JW1292;eco:b1299;	EG12431;	
puuC	P23883		Complete proteome;NAD;NADP;Oxidoreductase;Reference proteome	putrescine catabolic process [GO:0009447]		aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]; putrescine catabolic process [GO:0009447]	aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]	GO:0004030; GO:0009447							4263528;	ecj:JW1293;eco:b1300;	EG10036;	
puuB	P37906		Complete proteome;NAD;Oxidoreductase;Reference proteome	oxidation-reduction process [GO:0055114]; putrescine catabolic process [GO:0009447]		oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]; putrescine catabolic process [GO:0009447]	oxidoreductase activity [GO:0016491]	GO:0009447; GO:0016491; GO:0055114							4263527;	ecj:JW1294;eco:b1301;	EG11822;	
puuE	A0A0G3HVX2		Aminotransferase;Pyridoxal phosphate;Transferase	gamma-aminobutyric acid metabolic process [GO:0009448]		4-aminobutyrate transaminase activity [GO:0003867]; pyridoxal phosphate binding [GO:0030170]; gamma-aminobutyric acid metabolic process [GO:0009448]	4-aminobutyrate transaminase activity [GO:0003867]; pyridoxal phosphate binding [GO:0030170]	GO:0003867; GO:0009448; GO:0030170										
puuE	P50457		Aminotransferase;Complete proteome;Pyridoxal phosphate;Reference proteome;Transferase	gamma-aminobutyric acid metabolic process [GO:0009448]; putrescine catabolic process [GO:0009447]		4-aminobutyrate transaminase activity [GO:0003867]; 4-aminobutyrate:2-oxoglutarate transaminase activity [GO:0034386]; pyridoxal phosphate binding [GO:0030170]; gamma-aminobutyric acid metabolic process [GO:0009448]; putrescine catabolic process [GO:0009447]	4-aminobutyrate:2-oxoglutarate transaminase activity [GO:0034386]; 4-aminobutyrate transaminase activity [GO:0003867]; pyridoxal phosphate binding [GO:0030170]	GO:0003867; GO:0009447; GO:0009448; GO:0030170; GO:0034386							4263526;	ecj:JW1295;eco:b1302;	EG13187;	
ycjX	P76046		ATP-binding;Acetylation;Complete proteome;Nucleotide-binding;Reference proteome			ATP binding [GO:0005524]	ATP binding [GO:0005524]	GO:0005524							4260148;	ecj:JW1314;eco:b1321;	EG13921;	
tpx	P0A862		3D-structure;Antioxidant;Complete proteome;Cytoplasm;Direct protein sequencing;Disulfide bond;Oxidoreductase;Periplasm;Peroxidase;Redox-active center;Reference proteome	cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; periplasmic space [GO:0042597]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; periplasmic space [GO:0042597]; hydroperoxide reductase activity [GO:0032843]; thioredoxin peroxidase activity [GO:0008379]; cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]	hydroperoxide reductase activity [GO:0032843]; thioredoxin peroxidase activity [GO:0008379]	GO:0005737; GO:0005829; GO:0008379; GO:0032843; GO:0034599; GO:0042597; GO:0045454		P0A8E1		SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:7499381}. Cytoplasm {ECO:0000269|PubMed:19054092}. Note=Forms a mixed disulfide with cytoplasmic thioredoxin (trx1). {ECO:0000269|PubMed:19054092}.			4260151;850247;	ecj:JW1317;eco:b1324;	EG12672;	
ycjY	P76049		3D-structure;Complete proteome;Reference proteome	cell division [GO:0051301]		cell division [GO:0051301]		GO:0051301		P0AFG8					4262989;	ecj:JW5804;eco:b1327;	EG13922;	
ydaM	P77302	METAL 291 291 Magnesium. {ECO:0000250|UniProtKB:P31129}.; METAL 334 334 Magnesium. {ECO:0000250|UniProtKB:P31129}.	Complete proteome;GTP-binding;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Repeat;Transferase	positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of single-species biofilm formation on inanimate substrate [GO:1900233]		diguanylate cyclase activity [GO:0052621]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of single-species biofilm formation on inanimate substrate [GO:1900233]	diguanylate cyclase activity [GO:0052621]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	GO:0005525; GO:0042802; GO:0046872; GO:0051091; GO:0052621; GO:1900233		Itself; P33358; P77334					4259650;	ecj:JW5206;eco:b1341;	EG13355;	
ydaN	P64423		3D-structure;Cell inner membrane;Cell membrane;Complete proteome;Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport;Zinc	zinc ion transmembrane transport [GO:0071577]	integral component of plasma membrane [GO:0005887]	integral component of plasma membrane [GO:0005887]; zinc efflux transmembrane transporter activity [GO:0022883]; zinc ion transmembrane transport [GO:0071577]	zinc efflux transmembrane transporter activity [GO:0022883]	GO:0005887; GO:0022883; GO:0071577		P60785		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 271 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 295 298 Periplasmic. {ECO:0000255}.; TOPO_DOM 322 327 Cytoplasmic. {ECO:0000255}.	TRANSMEM 272 294 Helical. {ECO:0000255|HAMAP-Rule:MF_01565}.; TRANSMEM 299 321 Helical. {ECO:0000255|HAMAP-Rule:MF_01565}.	4261064;	ecj:JW1336;eco:b1342;	EG13356;	
dbpA	P21693		ATP-binding;Complete proteome;Cytoplasm;Helicase;Hydrolase;Nucleotide-binding;RNA-binding;Reference proteome;Ribosome biogenesis	ribosomal large subunit assembly [GO:0000027]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; ATP-dependent 3'-5' RNA helicase activity [GO:0034459]; ATPase activity [GO:0016887]; DNA/RNA helicase activity [GO:0033677]; RNA helicase activity [GO:0003724]; rRNA binding [GO:0019843]; ribosomal large subunit assembly [GO:0000027]	ADP binding [GO:0043531]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATP-dependent 3'-5' RNA helicase activity [GO:0034459]; DNA/RNA helicase activity [GO:0033677]; RNA helicase activity [GO:0003724]; rRNA binding [GO:0019843]	GO:0000027; GO:0003724; GO:0005524; GO:0005737; GO:0016887; GO:0019843; GO:0033677; GO:0034459; GO:0043531				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.			4262985;	ecj:JW1337;eco:b1343;	EG10210;	
intR	P76056		Complete proteome;DNA integration;DNA recombination;Reference proteome;Viral genome integration;Virus entry into host cell	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; establishment of integrated proviral latency [GO:0075713]; viral entry into host cell [GO:0046718]; viral genome integration into host DNA [GO:0044826]		DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; establishment of integrated proviral latency [GO:0075713]; viral entry into host cell [GO:0046718]; viral genome integration into host DNA [GO:0044826]	DNA binding [GO:0003677]	GO:0003677; GO:0006310; GO:0015074; GO:0044826; GO:0046718; GO:0075713							4261947;	ecj:JW1339;eco:b1345;	EG13358;	
stfR	P76072		Complete proteome;Reference proteome;Repeat			structural molecule activity [GO:0005198]	structural molecule activity [GO:0005198]	GO:0005198							4260171;	ecj:JW1366;eco:b1372;	EG13370;	
uspF	P37903		Complete proteome;Direct protein sequencing;Reference proteome	cell adhesion [GO:0007155]; response to oxidative stress [GO:0006979]		ATP binding [GO:0005524]; cell adhesion [GO:0007155]; response to oxidative stress [GO:0006979]	ATP binding [GO:0005524]	GO:0005524; GO:0006979; GO:0007155							4262881;	ecj:JW1370;eco:b1376;	EG12674;	
